timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1770560355214,132,HTTP Request - About Wikipedia-1,200,OK,Thread Group 3 - Custom 3-15,text,true,,156576,201,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,75,0,0
1770560355108,267,HTTP Request - About Wikipedia,200,OK,Thread Group 3 - Custom 3-9,text,true,,158423,403,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,72,0,0
1770560355108,72,HTTP Request - About Wikipedia-0,301,Moved Permanently,Thread Group 3 - Custom 3-9,text,true,,1847,202,19,27,https://www.wikipedia.org/wiki/Wikipedia:About,72,0,0
1770560355180,195,HTTP Request - About Wikipedia-1,200,OK,Thread Group 3 - Custom 3-9,text,true,,156576,201,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,57,0,0
1770560355194,185,HTTP Request - About Wikipedia,200,OK,Thread Group 3 - Custom 3-8,text,true,,158423,403,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,49,0,0
1770560355194,49,HTTP Request - About Wikipedia-0,301,Moved Permanently,Thread Group 3 - Custom 3-8,text,true,,1847,202,19,27,https://www.wikipedia.org/wiki/Wikipedia:About,49,0,0
1770560355244,135,HTTP Request - About Wikipedia-1,200,OK,Thread Group 3 - Custom 3-8,text,true,,156576,201,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,96,0,0
1770560355184,199,HTTP Request - About Wikipedia,200,OK,Thread Group 3 - Custom 3-11,text,true,,158423,403,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,56,0,0
1770560355184,56,HTTP Request - About Wikipedia-0,301,Moved Permanently,Thread Group 3 - Custom 3-11,text,true,,1847,202,19,27,https://www.wikipedia.org/wiki/Wikipedia:About,56,0,0
1770560355240,143,HTTP Request - About Wikipedia-1,200,OK,Thread Group 3 - Custom 3-11,text,true,,156576,201,19,27,https://en.wikipedia.org/wiki/Wikipedia:About,96,0,0
1770560355127,256,HTTP Request - Contact Page,200,OK,Thread Group 3 - Custom 3-5,text,true,,94116,413,19,27,https://en.wikipedia.org/wiki/Wikipedia:Contact_us,75,0,0
